date,well_id,gas_mmscfd
2025-09-01,WELL_A12,12.1927
2025-09-01,WELL_B07,3.2
2025-09-01,WELL_C03,0.3339
2025-09-01,WELL_D01,0.0
2025-09-01,WELL_D02,0.0
2025-09-01,WELL_E05,8.9454
2025-09-01,WELL_F10,0.0
2025-09-02,WELL_A12,11.9502
2025-09-02,WELL_B07,0.0
2025-09-02,WELL_C03,0.2871
2025-09-02,WELL_D01,0.0
2025-09-02,WELL_D02,0.0
2025-09-02,WELL_E05,7.58
2025-09-02,WELL_F10,0.0
2025-09-03,WELL_A12,10.127
2025-09-03,WELL_B07,0.0
2025-09-03,WELL_C03,0.3427
2025-09-03,WELL_D01,0.0
2025-09-03,WELL_D02,0.0
2025-09-03,WELL_E05,8.1396
2025-09-03,WELL_F10,0.0
2025-09-04,WELL_A12,11.7929
2025-09-04,WELL_B07,0.0
2025-09-04,WELL_C03,0.3078
2025-09-04,WELL_D01,0.0
2025-09-04,WELL_D02,0.0
2025-09-04,WELL_E05,7.7792
2025-09-04,WELL_F10,0.0
2025-09-05,WELL_A12,9.889
2025-09-05,WELL_B07,0.0
2025-09-05,WELL_C03,0.2973
2025-09-05,WELL_D01,0.0
2025-09-05,WELL_D02,0.0
2025-09-05,WELL_E05,7.5413
2025-09-05,WELL_F10,0.0
2025-09-06,WELL_A12,12.3212
2025-09-06,WELL_B07,0.0
2025-09-06,WELL_C03,0.3568
2025-09-06,WELL_D01,0.0
2025-09-06,WELL_D02,0.0
2025-09-06,WELL_E05,8.2559
2025-09-06,WELL_F10,0.0
2025-09-07,WELL_A12,11.6851
2025-09-07,WELL_B07,0.0
2025-09-07,WELL_C03,0.2649
2025-09-07,WELL_D01,0.0
2025-09-07,WELL_D02,0.0
2025-09-07,WELL_E05,8.4463
2025-09-07,WELL_F10,0.0
2025-09-08,WELL_A12,12.3124
2025-09-08,WELL_B07,0.0
2025-09-08,WELL_C03,0.271
2025-09-08,WELL_D01,0.0
2025-09-08,WELL_D02,0.0
2025-09-08,WELL_E05,7.3169
2025-09-08,WELL_F10,0.0
2025-09-09,WELL_A12,12.703
2025-09-09,WELL_B07,0.0
2025-09-09,WELL_C03,0.2972
2025-09-09,WELL_D01,0.0
2025-09-09,WELL_D02,0.0
2025-09-09,WELL_E05,9.369
2025-09-09,WELL_F10,0.0
2025-09-10,WELL_A12,11.625
2025-09-10,WELL_B07,0.0
2025-09-10,WELL_C03,0.3443
2025-09-10,WELL_D01,0.0
2025-09-10,WELL_D02,0.0
2025-09-10,WELL_E05,5.4802
2025-09-10,WELL_F10,0.0
2025-09-11,WELL_A12,13.0249
2025-09-11,WELL_B07,0.0
2025-09-11,WELL_C03,0.3193
2025-09-11,WELL_D01,0.0
2025-09-11,WELL_D02,0.0
2025-09-11,WELL_E05,8.1241
2025-09-11,WELL_F10,0.0
2025-09-12,WELL_A12,12.2329
2025-09-12,WELL_B07,0.0
2025-09-12,WELL_C03,0.2989
2025-09-12,WELL_D01,0.0
2025-09-12,WELL_D02,0.0
2025-09-12,WELL_E05,7.7438
2025-09-12,WELL_F10,0.0
2025-09-13,WELL_A12,12.4613
2025-09-13,WELL_B07,0.0
2025-09-13,WELL_C03,0.3201
2025-09-13,WELL_D01,0.0
2025-09-13,WELL_D02,0.0
2025-09-13,WELL_E05,8.0369
2025-09-13,WELL_F10,0.0
2025-09-14,WELL_A12,12.2054
2025-09-14,WELL_B07,0.0
2025-09-14,WELL_C03,0.292
2025-09-14,WELL_D01,0.0
2025-09-14,WELL_D02,0.0
2025-09-14,WELL_E05,8.3169
2025-09-14,WELL_F10,0.0
2025-09-15,WELL_A12,11.8787
2025-09-15,WELL_B07,0.0
2025-09-15,WELL_C03,0.2907
2025-09-15,WELL_D01,0.0
2025-09-15,WELL_D02,0.0
2025-09-15,WELL_E05,7.6409
2025-09-15,WELL_F10,0.0
2025-09-16,WELL_A12,10.5366
2025-09-16,WELL_B07,0.0
2025-09-16,WELL_C03,0.2832
2025-09-16,WELL_D01,0.0
2025-09-16,WELL_D02,0.0
2025-09-16,WELL_E05,8.3783
2025-09-16,WELL_F10,0.0
2025-09-17,WELL_A12,11.4279
2025-09-17,WELL_B07,0.0
2025-09-17,WELL_C03,0.3188
2025-09-17,WELL_D01,0.0
2025-09-17,WELL_D02,0.0
2025-09-17,WELL_E05,8.3903
2025-09-17,WELL_F10,0.0
2025-09-18,WELL_A12,11.068
2025-09-18,WELL_B07,0.0
2025-09-18,WELL_C03,0.3089
2025-09-18,WELL_D01,0.0
2025-09-18,WELL_D02,0.0
2025-09-18,WELL_E05,7.9001
2025-09-18,WELL_F10,0.0
2025-09-19,WELL_A12,12.1242
2025-09-19,WELL_B07,0.0
2025-09-19,WELL_C03,0.2855
2025-09-19,WELL_D01,0.0
2025-09-19,WELL_D02,0.0
